"X1","id","category","sub_category","order_date","sales"
141,"JD-15895","Furniture","Furnishings",2016-09-05,82.8
142,"SH-19975","Office Supplies","Art",2017-09-18,8.82
143,"SH-19975","Office Supplies","Envelopes",2017-09-18,10.86
144,"SH-19975","Office Supplies","Paper",2017-09-18,143.7
145,"SG-20080","Office Supplies","Appliances",2017-12-22,839.43
146,"HA-14920","Office Supplies","Storage",2015-09-07,671.93
147,"MG-17680","Furniture","Furnishings",2014-10-22,93.888
148,"JE-16165","Technology","Phones",2016-12-05,384.45
149,"JE-16165","Technology","Phones",2016-12-05,149.97
150,"JE-16165","Furniture","Chairs",2016-12-05,1951.84
151,"JE-16165","Office Supplies","Binders",2016-12-05,171.55
152,"TW-21025","Office Supplies","Appliances",2016-03-13,157.92
153,"TW-21025","Technology","Phones",2016-03-13,203.184
154,"SP-20650","Office Supplies","Paper",2015-05-31,58.38
155,"SP-20650","Office Supplies","Paper",2015-05-31,105.52
156,"SP-20650","Office Supplies","Storage",2015-05-31,80.88
157,"NK-18490","Office Supplies","Art",2015-05-28,6.63
158,"DB-13060","Furniture","Chairs",2014-03-01,457.568
159,"NP-18670","Office Supplies","Labels",2016-11-20,14.62
160,"NP-18670","Technology","Phones",2016-11-20,944.93
161,"TT-21070","Office Supplies","Paper",2016-05-11,5.98
162,"EM-13960","Technology","Accessories",2015-12-28,54.384
163,"RD-19900","Office Supplies","Envelopes",2016-11-16,28.4
164,"MJ-17740","Office Supplies","Binders",2016-11-07,27.68
165,"BM-11140","Office Supplies","Art",2014-09-08,9.936
166,"BM-11140","Technology","Machines",2014-09-08,8159.952
167,"BM-11140","Office Supplies","Storage",2014-09-08,275.928
168,"BM-11140","Furniture","Chairs",2014-09-08,1740.06
169,"BM-11140","Office Supplies","Art",2014-09-08,32.064
170,"BM-11140","Office Supplies","Appliances",2014-09-08,177.98
171,"BM-11140","Technology","Phones",2014-09-08,143.976
172,"CS-12130","Office Supplies","Paper",2014-08-05,20.94
173,"CS-12130","Office Supplies","Paper",2014-08-05,110.96
174,"CS-12130","Furniture","Chairs",2014-08-05,340.144
175,"JB-15400","Office Supplies","Appliances",2014-09-14,52.448
176,"JB-15400","Office Supplies","Labels",2014-09-14,20.16
177,"SJ-20500","Office Supplies","Appliances",2017-04-21,97.264
178,"JE-15745","Furniture","Chairs",2015-11-21,396.802
179,"JE-15745","Office Supplies","Supplies",2015-11-21,15.88
180,"JK-15640","Office Supplies","Art",2015-12-15,3.28
181,"DK-13150","Office Supplies","Storage",2014-12-05,24.816
182,"DK-13150","Technology","Accessories",2014-12-05,408.744
183,"RM-19675","Technology","Phones",2014-11-19,503.96
184,"RM-19675","Technology","Phones",2014-11-19,149.95
185,"RM-19675","Technology","Accessories",2014-11-19,29
186,"SK-19990","Office Supplies","Binders",2016-11-28,7.16
187,"FM-14290","Technology","Accessories",2014-08-26,176.8
188,"AM-10360","Office Supplies","Storage",2016-07-16,37.224
189,"AM-10360","Office Supplies","Paper",2016-07-16,20.016
190,"MP-17470","Furniture","Bookcases",2015-10-12,899.136
191,"MP-17470","Technology","Phones",2015-10-12,71.76
192,"MP-17470","Office Supplies","Paper",2015-10-12,51.84
193,"MP-17470","Furniture","Bookcases",2015-10-12,626.352
194,"MP-17470","Office Supplies","Art",2015-10-12,19.9
195,"MZ-17515","Office Supplies","Envelopes",2015-10-31,14.28
196,"CB-12025","Office Supplies","Art",2014-03-21,7.408
197,"CB-12025","Office Supplies","Art",2014-03-21,6.048
198,"VM-21685","Office Supplies","Storage",2017-11-06,46.26
199,"FH-14365","Office Supplies","Binders",2017-07-06,2.946
200,"FH-14365","Office Supplies","Paper",2017-07-06,16.056
201,"MB-17305","Office Supplies","Paper",2017-06-24,21.744
202,"BS-11755","Furniture","Tables",2014-08-03,218.75
203,"BS-11755","Office Supplies","Appliances",2014-08-03,2.6
204,"LC-17140","Office Supplies","Appliances",2017-12-17,66.284
205,"HK-14890","Furniture","Furnishings",2017-06-03,35.168
206,"LE-16810","Technology","Phones",2017-12-09,444.768
207,"JH-15985","Office Supplies","Storage",2017-12-01,83.92
208,"JH-15985","Technology","Phones",2017-12-01,131.98
209,"JH-15985","Office Supplies","Binders",2017-12-01,15.92
210,"JH-15985","Office Supplies","Fasteners",2017-12-01,52.29
211,"JH-15985","Office Supplies","Storage",2017-12-01,91.99
212,"MS-17980","Technology","Accessories",2015-02-09,20.8
213,"VW-21775","Office Supplies","Labels",2015-01-02,23.68
214,"VW-21775","Furniture","Bookcases",2015-01-02,452.45
215,"VW-21775","Technology","Phones",2015-01-02,62.982
216,"VW-21775","Technology","Machines",2015-01-02,1188
217,"VW-21775","Technology","Accessories",2015-01-02,89.584
218,"JH-15910","Office Supplies","Storage",2016-10-28,93.06
219,"JH-15910","Technology","Phones",2016-10-28,302.376
220,"JB-15925","Office Supplies","Fasteners",2015-12-24,5.584
221,"JB-15925","Office Supplies","Paper",2015-12-24,22.704
222,"JB-15925","Office Supplies","Binders",2015-12-24,19.776
223,"JB-15925","Furniture","Furnishings",2015-12-24,72.704
224,"JB-15925","Technology","Machines",2015-12-24,479.988
225,"JB-15925","Office Supplies","Art",2015-12-24,27.168
226,"DS-13180","Office Supplies","Art",2015-08-09,2.2
227,"DS-13180","Furniture","Tables",2015-08-09,622.45
228,"DS-13180","Office Supplies","Storage",2015-08-09,21.98
229,"VD-21670","Furniture","Chairs",2015-02-28,161.568
230,"VD-21670","Furniture","Chairs",2015-02-28,389.696
231,"EA-14035","Office Supplies","Binders",2014-09-13,18.648
232,"CS-12400","Furniture","Tables",2017-04-07,233.86
233,"CS-12400","Furniture","Tables",2017-04-07,620.6145
234,"CS-12400","Office Supplies","Binders",2017-04-07,5.328
235,"CS-12400","Furniture","Furnishings",2017-04-07,258.072
236,"CS-12400","Technology","Accessories",2017-04-07,617.976
237,"DB-13120","Office Supplies","Paper",2017-11-12,10.56
238,"KL-16645","Office Supplies","Paper",2016-06-04,25.92
239,"KL-16645","Furniture","Furnishings",2016-06-04,419.68
240,"KL-16645","Furniture","Furnishings",2016-06-04,11.688
241,"KL-16645","Technology","Phones",2016-06-04,31.984
242,"KL-16645","Furniture","Tables",2016-06-04,177.225
243,"KL-16645","Furniture","Furnishings",2016-06-04,4.044
244,"KL-16645","Office Supplies","Art",2016-06-04,7.408
245,"DW-13480","Furniture","Chairs",2014-06-01,2001.86
246,"DW-13480","Office Supplies","Storage",2014-06-01,166.72
247,"DW-13480","Office Supplies","Paper",2014-06-01,47.88
248,"DW-13480","Office Supplies","Appliances",2014-06-01,1503.25
249,"DW-13480","Office Supplies","Paper",2014-06-01,25.92
250,"LH-17155","Furniture","Chairs",2016-12-10,321.568
251,"KC-16540","Office Supplies","Paper",2016-09-11,7.61
252,"KC-16540","Technology","Accessories",2016-09-11,3347.37
253,"DL-13315","Office Supplies","Storage",2016-12-10,80.58
254,"DL-13315","Office Supplies","Envelopes",2016-12-10,361.92
255,"DR-12880","Furniture","Furnishings",2015-11-28,12.132
256,"DR-12880","Office Supplies","Storage",2015-11-28,82.368
257,"DR-12880","Office Supplies","Storage",2015-11-28,53.92
258,"DR-12880","Technology","Phones",2015-11-28,647.904
259,"CC-12670","Technology","Accessories",2017-12-01,20.37
260,"CC-12670","Office Supplies","Storage",2017-12-01,221.55
261,"CC-12670","Office Supplies","Binders",2017-12-01,17.52
262,"Dl-13600","Office Supplies","Appliances",2017-06-08,1.624
263,"SB-20290","Technology","Machines",2014-09-19,3059.982
264,"SB-20290","Technology","Machines",2014-09-19,2519.958
265,"RC-19825","Technology","Phones",2016-06-06,328.224
266,"AH-10210","Technology","Accessories",2015-11-10,79.9
267,"CB-12535","Office Supplies","Art",2017-06-16,14.016
268,"PG-18895","Office Supplies","Fasteners",2016-01-22,7.56
269,"CA-12310","Office Supplies","Storage",2017-12-09,37.208
270,"CA-12310","Office Supplies","Envelopes",2017-12-09,57.576
271,"KH-16690","Office Supplies","Storage",2017-12-28,725.84
272,"HA-14920","Technology","Accessories",2015-07-30,209.93
273,"HA-14920","Furniture","Furnishings",2015-07-30,5.28
274,"HA-14920","Office Supplies","Binders",2015-07-30,10.92
275,"BB-10990","Office Supplies","Paper",2017-09-16,8.82
276,"BB-10990","Office Supplies","Art",2017-09-16,5.98
277,"AG-10495","Office Supplies","Paper",2017-10-13,11.648
278,"AG-10495","Office Supplies","Paper",2017-10-13,18.176
279,"AG-10495","Office Supplies","Storage",2017-10-13,59.712
280,"AG-10495","Office Supplies","Labels",2017-10-13,24.84
281,"SC-20725","Office Supplies","Binders",2015-09-26,2.08
282,"SC-20725","Technology","Phones",2015-09-26,1114.4
283,"JO-15280","Furniture","Tables",2015-11-02,1038.84
284,"TB-21520","Office Supplies","Paper",2015-09-26,141.76
285,"TB-21520","Technology","Accessories",2015-09-26,239.8
286,"TB-21520","Office Supplies","Paper",2015-09-26,31.104
287,"AH-10195","Office Supplies","Binders",2016-12-18,254.058
288,"AH-10195","Office Supplies","Appliances",2016-12-18,194.528
289,"AH-10195","Office Supplies","Supplies",2016-12-18,961.48
290,"NZ-18565","Office Supplies","Fasteners",2016-11-20,19.096
291,"NZ-18565","Office Supplies","Labels",2016-11-20,18.496
292,"NZ-18565","Technology","Accessories",2016-11-20,255.984
293,"NZ-18565","Furniture","Bookcases",2016-11-20,86.97
294,"KL-16555","Furniture","Furnishings",2014-12-26,300.416
295,"KL-16555","Furniture","Chairs",2014-12-26,230.352
296,"KL-16555","Furniture","Furnishings",2014-12-26,218.352
297,"KL-16555","Office Supplies","Binders",2014-12-26,78.6
298,"KL-16555","Office Supplies","Fasteners",2014-12-26,27.552
299,"JD-15895","Office Supplies","Paper",2016-10-28,32.4
300,"JD-15895","Office Supplies","Storage",2016-10-28,1082.48
301,"JD-15895","Office Supplies","Paper",2016-10-28,56.91
302,"JD-15895","Furniture","Furnishings",2016-10-28,77.6
303,"JD-15895","Office Supplies","Binders",2016-10-28,14.28
304,"JH-15910","Furniture","Tables",2017-11-19,219.075
305,"AS-10225","Furniture","Furnishings",2015-05-04,26.8
306,"KB-16600","Office Supplies","Art",2014-12-30,9.84
307,"CR-12625","Office Supplies","Binders",2014-06-01,45.48
308,"CR-12625","Office Supplies","Art",2014-06-01,289.2
309,"SH-20395","Office Supplies","Art",2017-04-15,4.89
310,"BP-11185","Furniture","Furnishings",2016-09-12,15.136
311,"BP-11185","Furniture","Chairs",2016-09-12,466.768
312,"BP-11185","Furniture","Furnishings",2016-09-12,15.232
313,"BP-11185","Office Supplies","Labels",2016-09-12,6.264
314,"TS-21205","Furniture","Furnishings",2014-09-27,87.54
315,"AG-10525","Technology","Phones",2014-08-09,178.384
316,"AG-10525","Office Supplies","Paper",2014-08-09,15.552
317,"SP-20860","Office Supplies","Art",2014-12-28,99.136
318,"NM-18445","Furniture","Chairs",2014-11-04,135.882
319,"NM-18445","Technology","Machines",2014-11-04,3991.98
320,"NM-18445","Technology","Phones",2014-11-04,275.94
321,"NM-18445","Technology","Accessories",2014-11-04,360
322,"NM-18445","Office Supplies","Storage",2014-11-04,43.57
323,"FA-14230","Office Supplies","Fasteners",2014-09-19,7.16
324,"GK-14620","Office Supplies","Binders",2016-04-23,251.52
325,"GK-14620","Technology","Accessories",2016-04-23,99.99
326,"DJ-13510","Furniture","Furnishings",2017-11-03,15.992
327,"PO-18850","Technology","Phones",2016-08-30,290.898
328,"PO-18850","Office Supplies","Storage",2016-08-30,54.224
329,"PO-18850","Furniture","Chairs",2016-08-30,786.744
330,"PO-18850","Office Supplies","Labels",2016-08-30,100.24
331,"PO-18850","Office Supplies","Binders",2016-08-30,37.764
332,"JL-15850","Technology","Phones",2016-04-25,82.8
333,"JL-15850","Office Supplies","Binders",2016-04-25,20.724
334,"JL-15850","Office Supplies","Binders",2016-04-25,4.896
335,"DB-13615","Office Supplies","Binders",2015-09-01,4.752
336,"DB-13615","Technology","Copiers",2015-09-01,959.984
337,"DB-13615","Office Supplies","Binders",2015-09-01,14.368
338,"AC-10420","Office Supplies","Binders",2014-07-12,7.712
339,"AC-10420","Furniture","Tables",2014-07-12,698.352
340,"KL-16645","Office Supplies","Fasteners",2015-06-22,4.96
341,"JD-15895","Office Supplies","Art",2014-04-13,17.856
342,"JD-15895","Office Supplies","Binders",2014-04-13,509.97
343,"JD-15895","Office Supplies","Fasteners",2014-04-13,30.992
344,"JD-15895","Technology","Phones",2014-04-13,71.928
345,"CS-12130","Office Supplies","Storage",2015-12-20,88.8
346,"CC-12550","Technology","Phones",2017-06-15,47.976
347,"TD-20995","Office Supplies","Art",2017-07-08,7.56
348,"TD-20995","Office Supplies","Paper",2017-07-08,24.56
349,"TD-20995","Office Supplies","Art",2017-07-08,12.96
350,"AB-10060","Technology","Accessories",2016-09-01,6.79
351,"AB-10060","Office Supplies","Paper",2016-09-01,24.56
352,"AB-10060","Office Supplies","Binders",2016-09-01,3.048
353,"AB-10060","Office Supplies","Paper",2016-09-01,49.12
354,"AB-10060","Office Supplies","Binders",2016-09-01,4355.168
355,"JL-15505","Furniture","Bookcases",2016-04-08,388.704
356,"JL-15505","Office Supplies","Envelopes",2016-04-08,8.26
357,"JL-15505","Office Supplies","Art",2016-04-08,17.04
358,"JL-15505","Office Supplies","Paper",2016-04-08,34.4
359,"HK-14890","Office Supplies","Paper",2016-04-23,36.24
360,"VB-21745","Office Supplies","Appliances",2017-03-08,647.84
361,"VB-21745","Office Supplies","Labels",2017-03-08,20.7
362,"KW-16435","Office Supplies","Labels",2017-09-25,20.7
363,"KW-16435","Furniture","Chairs",2017-09-25,488.646
364,"KW-16435","Office Supplies","Art",2017-09-25,5.56
365,"KW-16435","Furniture","Furnishings",2017-09-25,47.12
366,"JD-16060","Office Supplies","Storage",2014-09-24,211.96
367,"MK-17905","Office Supplies","Binders",2016-10-21,23.2
368,"MK-17905","Office Supplies","Supplies",2016-10-21,7.36
369,"MK-17905","Office Supplies","Storage",2016-10-21,104.79
370,"MK-17905","Furniture","Bookcases",2016-10-21,1043.92
371,"GT-14755","Office Supplies","Paper",2017-05-29,25.92
372,"GT-14755","Office Supplies","Storage",2017-05-29,53.424
373,"AG-10900","Office Supplies","Binders",2014-07-23,8.16
374,"AG-10900","Technology","Accessories",2014-07-23,1023.936
375,"AG-10900","Office Supplies","Art",2014-07-23,9.24
376,"AG-10900","Technology","Accessories",2014-07-23,479.04
377,"MM-18280","Office Supplies","Paper",2016-09-28,99.136
378,"AR-10405","Furniture","Tables",2017-08-27,1488.424
379,"RA-19915","Office Supplies","Appliances",2015-04-28,8.652
380,"RA-19915","Office Supplies","Storage",2015-04-28,23.832
381,"RA-19915","Office Supplies","Binders",2015-04-28,12.176
382,"AS-10285","Office Supplies","Paper",2016-10-28,50.96
383,"AS-10285","Office Supplies","Binders",2016-10-28,49.536
384,"LA-16780","Technology","Accessories",2015-06-26,41.9
385,"DO-13435","Furniture","Tables",2015-11-27,375.4575
386,"DO-13435","Technology","Accessories",2015-11-27,83.976
387,"DK-13225","Technology","Machines",2015-12-03,482.34
388,"DK-13225","Furniture","Furnishings",2015-12-03,2.96
389,"NG-18430","Office Supplies","Art",2014-11-24,2.624
390,"MV-18190","Office Supplies","Binders",2017-12-11,23.36
391,"MV-18190","Technology","Accessories",2017-12-11,39.98
392,"JG-15115","Technology","Phones",2014-09-21,246.384
393,"JG-15115","Technology","Copiers",2014-09-21,1799.97
394,"BP-11095","Office Supplies","Binders",2014-06-07,12.462
395,"VP-21730","Office Supplies","Binders",2017-06-30,75.792
396,"SS-20140","Office Supplies","Storage",2017-10-17,49.96
397,"SS-20140","Office Supplies","Paper",2017-10-17,12.96
398,"HP-14815","Office Supplies","Supplies",2015-10-31,70.12
399,"AG-10675","Office Supplies","Storage",2016-09-08,35.952
400,"AG-10675","Furniture","Bookcases",2016-09-08,2396.2656
401,"AG-10675","Office Supplies","Storage",2016-09-08,131.136
402,"AG-10675","Technology","Accessories",2016-09-08,57.584
403,"LF-17185","Office Supplies","Paper",2014-12-24,9.568
404,"SP-20650","Office Supplies","Art",2014-04-16,39.072
405,"RF-19840","Office Supplies","Appliances",2017-12-24,35.91
406,"KH-16510","Technology","Accessories",2017-12-08,179.95
407,"KH-16510","Technology","Copiers",2017-12-08,1199.976
408,"KH-16510","Office Supplies","Paper",2017-12-08,27.15
409,"KH-16510","Furniture","Tables",2017-12-08,1004.024
410,"KH-16510","Office Supplies","Paper",2017-12-08,9.68
411,"KH-16510","Office Supplies","Labels",2017-12-08,28.35
412,"KH-16510","Office Supplies","Paper",2017-12-08,55.98
413,"KH-16510","Furniture","Bookcases",2017-12-08,1336.829
414,"KH-16510","Furniture","Chairs",2017-12-08,113.568
415,"KC-16675","Office Supplies","Paper",2017-11-03,139.86
416,"KC-16675","Furniture","Chairs",2017-11-03,307.136
417,"CJ-12010","Office Supplies","Art",2017-06-24,95.92
418,"PB-19150","Furniture","Chairs",2016-04-14,383.8
419,"VB-21745","Office Supplies","Paper",2017-11-06,5.78
420,"SP-20860","Office Supplies","Art",2017-03-04,9.32
421,"SP-20860","Office Supplies","Envelopes",2017-03-04,15.25
422,"JE-15745","Technology","Accessories",2014-06-22,196.752
423,"MP-17965","Furniture","Furnishings",2017-10-19,56.56
424,"MP-17965","Office Supplies","Storage",2017-10-19,32.7
425,"NF-18385","Furniture","Chairs",2017-08-21,866.4
426,"JM-15265","Furniture","Furnishings",2017-11-23,28.4
427,"JM-15265","Office Supplies","Binders",2017-11-23,287.92
428,"SD-20485","Technology","Machines",2014-09-12,69.99
429,"KH-16630","Office Supplies","Art",2017-10-01,6.672
430,"RB-19795","Office Supplies","Binders",2016-04-15,189.588
431,"RB-19795","Technology","Accessories",2016-04-15,408.744
432,"RB-19795","Technology","Accessories",2016-04-15,291.96
433,"RB-19795","Office Supplies","Storage",2016-04-15,4.768
434,"DB-13060","Office Supplies","Storage",2016-06-06,714.3
435,"MK-18160","Office Supplies","Binders",2014-12-19,4.812
436,"MK-18160","Technology","Accessories",2014-12-19,247.8
437,"PO-19180","Technology","Machines",2016-06-12,1007.979
438,"PO-19180","Office Supplies","Paper",2016-06-12,313.488
439,"BB-11545","Office Supplies","Paper",2017-09-15,31.872
440,"CV-12805","Furniture","Chairs",2017-01-20,207.846
441,"PK-19075","Furniture","Furnishings",2016-09-05,12.22
442,"PK-19075","Office Supplies","Storage",2016-09-05,194.94
443,"PK-19075","Office Supplies","Storage",2016-09-05,70.95
444,"PK-19075","Office Supplies","Paper",2016-09-05,91.36
445,"PK-19075","Furniture","Chairs",2016-09-05,242.94
446,"PK-19075","Office Supplies","Labels",2016-09-05,22.05
447,"TB-21595","Furniture","Furnishings",2017-03-20,2.91
448,"RB-19360","Office Supplies","Art",2016-04-01,59.52
449,"RB-19360","Office Supplies","Storage",2016-04-01,161.94
450,"RB-19360","Office Supplies","Art",2016-04-01,263.88
451,"RB-19360","Office Supplies","Art",2016-04-01,30.48
452,"RB-19360","Office Supplies","Art",2016-04-01,9.84
453,"RB-19360","Technology","Phones",2016-04-01,35.12
454,"EB-13705","Furniture","Tables",2017-10-20,284.364
455,"EB-13705","Office Supplies","Storage",2017-10-20,665.408
456,"KH-16630","Technology","Accessories",2016-12-13,63.88
457,"SC-20095","Furniture","Chairs",2014-02-12,129.568
